track_name,artist_name,streams,stream_change,7day,genre,country,pos,days,viral_score,trend,popularity_category,longevity
SWIM,BTS,11273830,-3370522,25918182,K-Pop,KR,1,2,37192012,Falling,Trending,New
Body to Body,BTS,6815694,-4369341,18000729,K-Pop,KR,2,2,24816423,Falling,Trending,New
Babydoll,Dominic Fike,5733862,178968,36599831,Alternative Pop,Florida,3,119,42333693,Rising,Trending,Evergreen
Hooligan,BTS,5338608,-3396855,14074071,K-Pop,KR,4,2,19412679,Falling,Trending,New
FYA,BTS,5196767,-2873904,13267438,K-Pop,KR,5,2,18464205,Falling,Trending,New
NORMAL,BTS,4749288,-2410388,11908964,K-Pop,KR,6,2,16658252,Falling,Average,New
Stateside + Zara Larsson (w/ Zara Larsson),PinkPantheress,4738329,-235112,34238168,Uk Garage,England,7,74,38976497,Falling,Average,Stable Hit
Aliens,BTS,4718569,-3036604,12473742,K-Pop,KR,8,2,17192311,Falling,Average,New
2,BTS,4573989,-2809104,11957082,K-Pop,KR,9,2,16531071,Falling,Average,New
Like Animals,BTS,4567309,-2259887,11394505,K-Pop,KR,10,2,15961814,Falling,Average,New
Merry Go Round,BTS,4490039,-2740868,11720946,K-Pop,KR,11,2,16210985,Falling,Average,New
they don’t know ’bout us,BTS,4423675,-2305775,11153125,K-Pop,KR,12,2,15576800,Falling,Average,New
Man I Need,Olivia Dean,4300853,-86237,28683798,Pop,US,13,214,32984651,Falling,Average,Evergreen
DtMF,Bad Bunny,4274742,-111657,29551375,Pop,PR,14,441,33826117,Falling,Average,Evergreen
End of Beginning,Djo,4108838,51706,27783861,Synth-Pop,US,15,764,31892699,Rising,Average,Evergreen
Risk It All,Bruno Mars,4007478,-499146,31739152,Offizielle Charts,US,16,23,35746630,Falling,Average,New
One More Night,BTS,3979999,-2153273,10113271,K-Pop,KR,17,2,14093270,Falling,Average,New
So Easy (To Fall In Love),Olivia Dean,3932082,33687,27406397,Pop,US,18,176,31338479,Rising,Average,Evergreen
Please,BTS,3897341,-2024958,9819640,K-Pop,KR,19,2,13716981,Falling,Average,New
Raindance (w/ Tems),Dave,3876044,-197505,25945780,Rap,US,20,109,29821824,Falling,Average,Evergreen
No. 29,BTS,3769141,-2733812,10272094,K-Pop,KR,21,2,14041235,Falling,Average,New
Into the Sun,BTS,3766459,-1959266,9492184,K-Pop,KR,22,2,13258643,Falling,Average,New
The Fate of Ophelia,Taylor Swift,3721332,-164240,26075129,Pop,US,23,170,29796461,Falling,Average,Evergreen
back to friends,sombr,3583316,-131585,25787563,Indie Pop,US,25,369,29370879,Falling,Average,Evergreen
BAILE INoLVIDABLE,Bad Bunny,3344867,-44475,22663387,Reggaeton,PR,26,441,26008254,Falling,Average,Evergreen
Lush Life,Zara Larsson,3341957,-21457,21857968,Pop,SE,27,761,25199925,Falling,Average,Evergreen
WHERE IS MY HUSBAND!,RAYE,3241010,5314,22068930,Pop,GB,28,184,25309940,Rising,Average,Evergreen
NUEVAYoL,Bad Bunny,3221298,-80099,21951925,Reggaeton,PR,29,441,25173223,Falling,Average,Evergreen
American Girls,Harry Styles,3101460,-420059,24771218,Rock,England,31,16,27872678,Falling,Average,New
iloveitiloveitiloveit,Bella Kay,2978129,-293545,22515039,Billboard Hot 100,US,32,30,25493168,Falling,Average,New
I Just Might,Bruno Mars,2860193,-16107,19846361,Pop,US,33,72,22706554,Falling,Average,Stable Hit
Iris,The Goo Goo Dolls,2776320,-126309,19907609,Alternative Rock,US,34,919,22683929,Falling,Average,Evergreen
Die With A Smile (w/ Bruno Mars),Lady Gaga,2691880,-142292,19325340,Pop,US,35,583,22017220,Falling,Average,Evergreen
Manchild,Sabrina Carpenter,2649376,-38989,17388953,Pop,US,36,289,20038329,Falling,Average,Evergreen
Tití Me Preguntó,Bad Bunny,2649180,-7253,17660827,Reggaeton,PR,37,483,20310007,Falling,Average,Evergreen
Love Me Not,Ravyn Lenae,2547681,-24120,17684406,Pop,US,38,368,20232087,Falling,Average,Evergreen
EoO,Bad Bunny,2542905,-123890,17968199,Billboard Hot 100,PR,39,437,20511104,Falling,Average,Evergreen
White Keys,Dominic Fike,2531236,-178737,17360808,Offizielle Charts,Florida,40,28,19892044,Falling,Average,New
BIRDS OF A FEATHER,Billie Eilish,2529075,24180,17056445,Alternative Pop,US,41,674,19585520,Rising,Average,Evergreen
Die On This Hill,SIENNA SPIRO,2398309,-322885,19212395,Pop,GB,43,102,21610704,Falling,Average,Evergreen
Every Breath You Take,The Police,2367833,25446,16070168,New Wave,GB,44,1619,18438001,Rising,Average,Evergreen
Dracula - JENNIE Remix (w/ JENNIE),Tame Impala,2332341,-89323,15767565,Psychedelic Rock,AU,45,36,18099906,Falling,Average,Stable Hit
12 to 12,sombr,2260402,-86182,15853606,Indie Pop,US,46,236,18114008,Falling,Average,Evergreen
Mr. Brightside,The Killers,2220784,-28156,14355698,Rock,GB,47,1682,16576482,Falling,Average,Evergreen
Espresso,Sabrina Carpenter,2213750,90339,13566149,Pop,US,48,709,15779899,Rising,Average,Evergreen
Choosin' Texas,Ella Langley,2169091,10331,13900513,Country,US,49,80,16069604,Rising,Average,Stable Hit
I Thought I Saw Your Face Today,She & Him,2155500,-138406,15647967,Indie Pop,US,50,104,17803467,Falling,Average,Evergreen
(When You Gonna) Give It Up to Me (w/ Keyshia Cole),Sean Paul,2154338,-112939,14951009,Dancehall,JM,51,65,17105347,Falling,Average,Stable Hit
Homewrecker,sombr,2139700,-220893,15402927,Indie Pop,US,52,44,17542627,Falling,Average,Stable Hit
Sailor Song,Gigi Perez,2107410,-121996,16461691,Electronic,IT,53,581,18569101,Falling,Average,Evergreen
Beautiful Things,Benson Boone,2090231,129461,13021976,Pop,US,54,793,15112207,Rising,Average,Evergreen
Sweater Weather,The Neighbourhood,2068795,-177998,15845100,Rock,GB,56,2120,17913895,Falling,Average,Evergreen
"One Dance (w/ Wizkid, Kyla)",Drake,2035423,-105895,13481976,Hip Hop,CA,57,2135,15517399,Falling,Average,Evergreen
Rein Me In (w/ Olivia Dean),Sam Fender,2020602,-34643,12610414,Rock,GB,58,23,14631016,Falling,Average,New
Creep,Radiohead,2011657,-91449,14176633,Rock,GB,59,842,16188290,Falling,Average,Evergreen
Opalite,Taylor Swift,1992549,-70008,14093798,Pop,US,60,170,16086347,Falling,Average,Evergreen
FEVER DREAM,Alex Warren,1992250,-130117,13935046,Offizielle Charts,GB,61,23,15927296,Falling,Average,New
dopamina (w/ Tito Double P),Peso Pluma,1952764,66159,12629601,Regional Mexicano,MX,62,86,14582365,Rising,Average,Stable Hit
E85,Don Toliver,1948495,-127853,13479304,Billboard Hot 100,US,63,51,15427799,Falling,Average,Stable Hit
That's What I Like,Bruno Mars,1912383,-142486,12699826,Pop,US,65,1254,14612209,Falling,Average,Evergreen
Dracula,Tame Impala,1906471,-84531,13354497,Dance-Pop,AU,66,138,15260968,Falling,Average,Evergreen
Dreams - 2004 Remaster,Fleetwood Mac,1894536,109844,11986886,Rock,GB,67,1004,13881422,Rising,Average,Evergreen
Gabriela,KATSEYE,1850006,60664,12468922,Girl Group,US,68,275,14318928,Rising,Average,Evergreen
Yellow,Coldplay,1828666,-99526,12862160,Alternative Rock,GB,69,1909,14690826,Falling,Average,Evergreen
Locked out of Heaven,Bruno Mars,1827015,-180903,13448378,Pop,US,70,1548,15275393,Falling,Average,Evergreen
I Wanna Be Yours,Arctic Monkeys,1825413,-80003,13563046,Indie Rock,GB,71,1354,15388459,Falling,Average,Evergreen
Who,Jimin,1807214,176731,11524586,Contemporary R&B,KR,72,611,13331800,Rising,Average,Evergreen
VOY A LLeVARTE PA PR,Bad Bunny,1780848,-133648,12359622,Reggaeton,PR,74,375,14140470,Falling,Average,Evergreen
daño (w/ Tito Double P),Peso Pluma,1780764,34375,11510694,Regional Mexicano,MX,75,86,13291458,Rising,Average,Stable Hit
Starboy (w/ Daft Punk),The Weeknd,1761445,-119116,12541479,R&B,CA,76,2095,14302924,Falling,Average,Evergreen
Lose Control,Teddy Swims,1737868,29374,11380332,Pop,US,77,856,13118200,Rising,Average,Evergreen
Riptide,Vance Joy,1737857,-5537,11544093,Rock,AU,78,2586,13281950,Falling,Average,Evergreen
WILDFLOWER,Billie Eilish,1730195,-201850,13900491,Alternative Pop,US,79,674,15630686,Falling,Average,Evergreen
LA CANCIÓN (w/ Bad Bunny),J Balvin,1708412,3072,11498926,Electronic,CO,80,988,13207338,Rising,Average,Evergreen
Qué Pasaría... (w/ Bad Bunny),Rauw Alejandro,1674168,25719,11406360,Reggaeton,PR,82,427,13080528,Rising,Average,Evergreen
Feel Good Inc,Gorillaz,1669648,-99808,11921501,Electronic,England,83,443,13591149,Falling,Average,Evergreen
All The Stars (w/ SZA),Kendrick Lamar,1665602,-10997,11456499,Hip Hop,US,84,1016,13122101,Falling,Average,Evergreen
See You Again (w/ Kali Uchis),"Tyler, The Creator",1662229,73090,10586720,Hip Hop,US,85,1066,12248949,Rising,Average,Evergreen
In the End,Linkin Park,1647656,-111701,11401354,Nu Metal,US,86,1012,13049010,Falling,Average,Evergreen
"One Of The Girls (w/ JENNIE, Lily-Rose Depp)",The Weeknd,1643774,-137154,12741548,R&B,CA,87,896,14385322,Falling,Average,Evergreen
Danza Kuduro (w/ Lucenzo),Don Omar,1643700,-105775,10737763,Reggaeton,PR,88,802,12381463,Falling,Average,Evergreen
Aperture,Harry Styles,1643576,-159524,13195579,Pop,England,89,58,14839155,Falling,Average,Stable Hit
"La Plena - W Sound 05 (w/ Beéle, Ovy On The Drums)",W Sound,1639753,-17075,10668572,Falcom,JP,90,389,12308325,Falling,Average,Evergreen
"LA VILLA (w/ Kapo, Gangsta)",Ryan Castro,1634806,64909,10801896,Rock,US,91,75,12436702,Rising,Average,Stable Hit
"Good Luck, Babe!",Chappell Roan,1621060,15852,10803226,Pop,US,92,710,12424286,Rising,Average,Evergreen
Viva La Vida,Coldplay,1610233,106290,10117917,Alternative Rock,GB,93,1329,11728150,Rising,Average,Evergreen
As It Was,Harry Styles,1608775,-150504,11660629,Pop,England,94,1401,13269404,Falling,Average,Evergreen
We Are The People,Empire Of The Sun,1594097,-30037,11149329,Electronic,AU,95,242,12743426,Falling,Average,Evergreen
The Less I Know The Better,Tame Impala,1593781,-51333,10870662,Psychedelic Rock,AU,96,510,12464443,Falling,Average,Evergreen
505,Arctic Monkeys,1587695,-113645,11653237,Indie Rock,GB,97,1537,13240932,Falling,Average,Evergreen
Seven (w/ Latto),Jung Kook,1580746,-80854,11202875,Pop,KR,98,981,12783621,Falling,Average,Evergreen
Marlboro Rojo,Fuerza Regida,1564019,112870,10014833,Billboard Hot 100,MX,99,317,11578852,Rising,Average,Evergreen
Todo Lo Fue,Lenin Ramírez,1563733,90601,10043908,Regional Mexicano,MX,100,58,11607641,Rising,Average,Stable Hit
The Visitor,SIENNA SPIRO,1558344,-296012,12044907,Pop Soul,GB,101,9,13603251,Falling,Average,New
Billie Jean,Michael Jackson,1551069,20972,9991848,Pop,US,102,363,11542917,Rising,Average,Evergreen
Si Antes Te Hubiera Conocido,KAROL G,1540953,46742,9623813,Reggaeton,CO,103,583,11164766,Rising,Average,Evergreen
Pvta Luna,Neton Vega,1537690,56324,10293259,Regional Mexicano,Culiacán,104,127,11830949,Rising,Average,Evergreen
Ya Borracho,Herencia De Grandes,1536251,49704,9999127,Regional Mexicano,Monterrey,105,122,11535378,Rising,Average,Evergreen
undressed,sombr,1535615,-88400,10972970,Indie Pop,US,106,358,12508585,Falling,Average,Evergreen
Shape of You,Ed Sheeran,1532739,-41473,10263688,Pop,GB,107,2815,11796427,Falling,Average,Evergreen
That’s So True,Gracie Abrams,1526228,-51917,10719195,Folk Pop,US,108,519,12245423,Falling,Average,Evergreen
Midnight Sun,Zara Larsson,1512185,-10911,10133254,Dance-Pop,SE,109,63,11645439,Falling,Average,Stable Hit
When I Was Your Man,Bruno Mars,1508958,144568,10366342,Pop,US,110,1476,11875300,Rising,Average,Evergreen
Have You Ever Seen The Rain,Creedence Clearwater Revival,1507387,52997,9344647,Swamp Rock,US,111,484,10852034,Rising,Average,Evergreen
Sparks,Coldplay,1504857,-3015,10932582,Alternative Rock,GB,112,562,12437439,Falling,Average,Evergreen
COQUETA (w/ Grupo Frontera),Fuerza Regida,1503126,62199,9876432,Regional Mexicano,MX,113,309,11379558,Rising,Average,Evergreen
Somewhere Only We Know,Keane,1496326,10006,10165562,Alternative Rock,GB,114,1193,11661888,Rising,Average,Evergreen
Taste Back,Harry Styles,1480809,-206276,12746602,Rock,England,115,16,14227411,Falling,Average,New
Zoo (w/ Shakira),Disney,1466813,189999,4001191,Special Purpose Artist,US,116,58,5468004,Rising,Average,Stable Hit
Smells Like Teen Spirit - Remastered,Nirvana,1453513,-125183,10271555,Grunge,US,117,727,11725068,Falling,Average,Evergreen
Blinding Lights,The Weeknd,1448450,11224,9729402,R&B,CA,118,2301,11177852,Rising,Average,Evergreen
7-3 (w/ Tito Double P),Peso Pluma,1440677,5573,9736835,Regional Mexicano,MX,119,86,11177512,Rising,Average,Stable Hit
Porch Light,Noah Kahan,1430611,-374516,12359863,Folk Pop,US,120,9,13790474,Falling,Average,New
Just the Way You Are,Bruno Mars,1423798,-102703,10482326,Pop,US,121,1197,11906124,Falling,Average,Evergreen
Coming Up Roses,Harry Styles,1418986,-230104,12650537,Pop,England,122,16,14069523,Falling,Average,New
Nice To Each Other,Olivia Dean,1416007,-50721,9872551,Pop,US,123,212,11288558,Falling,Average,Evergreen
Counting Stars,OneRepublic,1414383,-31879,9525522,Pop,US,124,2495,10939905,Falling,Average,Evergreen
Fame is a Gun,Addison Rae,1404894,-2613,10047427,Pop,US,125,120,11452321,Falling,Average,Evergreen
Only Girl (In The World),Rihanna,1398296,-52230,9276305,Pop,US,126,131,10674601,Falling,Average,Evergreen
Bring Me To Life,Evanescence,1396427,-131213,10205781,Rock,US,127,341,11602208,Falling,Average,Evergreen
Don't Stop The Music,Rihanna,1395227,-40325,9282714,Pop,US,128,117,10677941,Falling,Average,Evergreen
Timeless (w/ Playboi Carti),The Weeknd,1392146,-94943,10349253,R&B,CA,129,541,11741399,Falling,Average,Evergreen
Promiscuous (w/ Timbaland),Nelly Furtado,1390532,-5054,8860680,Pop,CA,130,171,10251212,Falling,Average,Evergreen
"Give Me Everything (w/ Ne-Yo, AFROJACK, Nayer)",Pitbull,1389531,-110927,9497950,Dance-Pop,US,131,511,10887481,Falling,Average,Evergreen
"chiclona (w/ Tito Double P, LENCHO)",Peso Pluma,1389411,-12742,9202643,Regional Mexicano,MX,132,21,10592054,Falling,Average,New
no tiene sentido,Beéle,1380148,-55381,9480736,Latin,CO,133,287,10860884,Falling,Average,Evergreen
Kiss It Better,Rihanna,1379747,-223043,10359276,Pop,US,134,142,11739023,Falling,Average,Evergreen
Body,Don Toliver,1377373,-100397,10001871,Billboard Hot 100,US,135,51,11379244,Falling,Average,Stable Hit
The Night We Met,Lord Huron,1368186,-94429,10515041,Indie Rock,US,137,1327,11883227,Falling,Average,Evergreen
Sweet Child O' Mine,Guns N' Roses,1367839,-13859,8983873,Hard Rock,US,138,440,10351712,Falling,Average,Evergreen
Let Me Love You (w/ Justin Bieber),DJ Snake,1364636,-88823,10084292,Dance,FR,139,809,11448928,Falling,Average,Evergreen
Numb,Linkin Park,1350782,-120313,9629438,Nu Metal,US,140,704,10980220,Falling,Average,Evergreen
Africa,TOTO,1350745,-23426,7537107,Rock,US,141,753,8887852,Falling,Average,Evergreen
Who Knows,Daniel Caesar,1349819,-151500,10486538,Toronto,CA,142,120,11836357,Falling,Average,Evergreen
The Man Who Can't Be Moved,The Script,1349075,-126873,10424946,Rock,GB,143,157,11774021,Falling,Average,Evergreen
A Couple Minutes,Olivia Dean,1348112,-57009,9770863,Pop,US,144,118,11118975,Falling,Average,Evergreen
Everybody Wants To Rule The World,Tears For Fears,1345799,28946,6232525,New Wave,GB,145,1027,7578324,Rising,Average,Evergreen
No One Noticed,The Marías,1342468,-53818,10132311,Rock,GB,146,496,11474779,Falling,Average,Evergreen
Without Me,Eminem,1335886,-100932,9154300,Hip Hop,US,147,1637,10490186,Falling,Average,Evergreen
Hips Don't Lie (w/ Wyclef Jean),Shakira,1330852,24927,6218904,Pop,CO,148,338,7549756,Rising,Average,Evergreen
Me Rehúso,Danny Ocean,1326162,-38797,8914757,Soundtrack,US,149,617,10240919,Falling,Average,Evergreen
"VeLDÁ (w/ Omar Courtz, Dei V)",Bad Bunny,1326149,-90827,9468025,Reggaeton,PR,150,395,10794174,Falling,Average,Evergreen
Style,Taylor Swift,1311077,-73973,8934698,Pop,US,152,347,10245775,Falling,Average,Evergreen
Payphone (w/ Wiz Khalifa),Maroon 5,1306200,-28788,9226178,Pop,US,153,712,10532378,Falling,Average,Evergreen
Please Please Please,Sabrina Carpenter,1296957,-1727,5009467,Pop,US,154,503,6306424,Falling,Average,Evergreen
TU SANCHO,Fuerza Regida,1296297,19803,8708123,Billboard Hot 100,MX,155,284,10004420,Rising,Average,Evergreen
Shut up My Moms Calling,Hotel Ugly,1294677,-8737,9158699,R&B,US,156,773,10453376,Falling,Average,Evergreen
"Ready, Steady, Go!",Harry Styles,1294001,-190275,11338844,Pop,England,157,16,12632845,Falling,Average,New
We Found Love (w/ Calvin Harris),Rihanna,1292535,-110188,7904030,Pop,US,158,823,9196565,Falling,Average,Evergreen
Sex on Fire,Kings of Leon,1290404,5746,3835428,Alternative Rock,US,159,63,5125832,Rising,Average,Stable Hit
Wonderwall - Remastered,Oasis,1286520,-64148,8821556,Britpop,GB,160,884,10108076,Falling,Average,Evergreen
Too Sweet,Hozier,1283948,40456,6149401,Pop,IE,161,620,7433349,Rising,Average,Evergreen
"Can't Hold Us (w/ Macklemore, Ryan Lewis, Ray Dalton)",Macklemore & Ryan Lewis,1282248,-87604,8781747,Hip Hop,US,163,1211,10063995,Falling,Average,Evergreen
DAISIES,Justin Bieber,1281664,-20169,8990092,Pop,CA,164,252,10271756,Falling,Average,Evergreen
Sunflower - Spider-Man: Into the Spider-Verse (w/ Swae Lee),Post Malone,1281251,-6790,5025791,Pop,US,165,2292,6307042,Falling,Average,Evergreen
Take on Me - 2015 Remaster,a-ha,1279646,-21334,4937908,Pop,NO,167,14,6217554,Falling,Average,New
Can't Stop - 2014 Remaster,Red Hot Chili Peppers,1275766,-114450,9103531,Alternative Rock,US,169,20,10379297,Falling,Average,New
Poker Face,Lady Gaga,1275472,-64590,8736190,Pop,US,170,389,10011662,Falling,Average,Evergreen
Cruel Summer,Taylor Swift,1268541,9198,2527884,Pop,US,172,1014,3796425,Rising,Average,Evergreen
Boys Don't Cry,The Cure,1263767,15843,6006104,New Wave,GB,173,53,7269871,Rising,Average,Stable Hit
luther,Kendrick Lamar,1260494,-89450,9151667,Hip Hop,US,175,483,10412161,Falling,Average,Evergreen
What You Saying,Lil Uzi Vert,1259173,-27420,8754899,Rap,US,176,80,10014072,Falling,Average,Stable Hit
S&M,Rihanna,1257351,-87753,7352626,Pop,US,177,30,8609977,Falling,Average,New
No Pole,Don Toliver,1254541,-53350,9273774,Billboard Hot 100,US,178,454,10528315,Falling,Average,Evergreen
Last Friday Night (T.G.I.F.),Katy Perry,1251765,-19664,2523194,Pop,US,179,99,3774959,Falling,Average,Stable Hit
Just Keep Watching (From F1® The Movie) (w/ F1 The Album),Tate McRae,1245007,-77995,9035434,Dolby Atmos,CA,181,270,10280441,Falling,Average,Evergreen
Flashing Lights (w/ Dwele),Kanye West,1241168,-39451,8480893,Pop,GB,185,244,9722061,Falling,Average,Evergreen
Gangsta's Paradise (w/ L.V.),Coolio,1239884,-37552,4891917,Hip Hop,US,187,791,6131801,Falling,Average,Evergreen
nuts (w/ rainy bear),Lil Peep,1237223,-11727,4787172,Hip Hop,US,188,5,6024395,Falling,Average,New
Perfect,Ed Sheeran,1227709,-74196,8956978,Pop,GB,190,3070,10184687,Falling,Average,Evergreen
Summertime Sadness,Lana Del Rey,1227362,-104470,7508206,Indie Pop,US,191,1093,8735568,Falling,Average,Evergreen
Come As You Are - Remastered,Nirvana,1224750,-89453,6372663,Grunge,US,192,153,7597413,Falling,Average,Evergreen
Breakin' Dishes,Rihanna,1224675,-24245,8638532,Pop,US,193,346,9863207,Falling,Average,Evergreen
The Chain - 2004 Remaster,Fleetwood Mac,1210598,-79537,8817306,Rock,GB,196,205,10027904,Falling,Average,Evergreen
Love On The Brain,Rihanna,1203160,-69820,7439269,Soul,US,197,352,8642429,Falling,Average,Evergreen
Sign of the Times,Harry Styles,1198929,-121566,3816744,Pop,England,198,331,5015673,Falling,Average,Evergreen
Sorry,Justin Bieber,1192146,-86760,7346804,Pop,CA,199,767,8538950,Falling,Average,Evergreen
Life Goes On,BTS,1191777,-76127,8979038,K-Pop,KR,200,207,10170815,Falling,Average,Evergreen